	Keymolnet_disease	ICD10	KEGG_ENTRY	KEGG_Name
KMN838	Type 1 Renal Tubular Acidosis	N25.8	H00241;H00243;H00428;H00429;H00694;H02147;H02148;H02149;H02310	Combined proximal and distal renal tubular acidosis;Hyperkalemic distal renal tubular acidosis (RTA type 4);Distal renal tubular acidosis (RTA type 1);Proximal renal tubular acidosis (RTA type 2);Dent disease;X-linked recessive nephrolithiasis with renal failure;Low molecular weight proteinuria with hypercalciuria and nephrocalcinosis;X-linked hypercalciuric nephrolithiasis;Renal tubular acidosis
KMN293	Type 2 Diabetes Mellitus	NO_DATA	H00409	Type 2 diabetes mellitus
KMN839	Type 2 Renal Tubular Acidosis	N25.8	H00241;H00243;H00428;H00429;H00694;H02147;H02148;H02149;H02310	Combined proximal and distal renal tubular acidosis;Hyperkalemic distal renal tubular acidosis (RTA type 4);Distal renal tubular acidosis (RTA type 1);Proximal renal tubular acidosis (RTA type 2);Dent disease;X-linked recessive nephrolithiasis with renal failure;Low molecular weight proteinuria with hypercalciuria and nephrocalcinosis;X-linked hypercalciuric nephrolithiasis;Renal tubular acidosis
KMN840	Type 3 Renal Tubular Acidosis	Q78.2	H00450;H00540;H00968	Worth type autosomal dominant osteosclerosis;Osteoporosis, lymphedema, anhydrotic ectodermal dysplasia with immunodeficiency (OLEDAID);Raine syndrome
KMN841	Type 4 Renal Tubular Acidosis	NO_DATA	NO_DATA	NO_DATA
KMN758	Type A Gastritis	K29.4	NO_DATA	NO_DATA
KMN295	Type A insulin resistance	NO_DATA	NO_DATA	NO_DATA
KMN441	Tyrosinemia Type I	E70.2	H00165	Tyrosinemia
KMN440	Tyrosinemia Type II	E70.2	H00165	Tyrosinemia
KMN439	Tyrosinemia Type III	E70.2	H00165	Tyrosinemia
KMN763	Ulcerative Colitis	NO_DATA	H01466	Ulcerative colitis
KMN618	Unverricht-Lundborg disease	NO_DATA	H01995	Unverricht-Lundborg disease
KMN404	Ureidopropionase Deficiency	E79.8	H00196;H00964;H00966	Phosphoribosylpyrophosphate synthetase superactivity;Thiopurine S-methyltransferase deficiency (TPMT deficiency);AICA-ribosiduria
KMN792	Uric Acid Nephropathy	NO_DATA	NO_DATA	NO_DATA
KMN403	Uridine Diphosphate Galactose 4-Epimerase Deficiency	E74.2	H00070;H02008;H02010	Galactosemia;Galactose-1P uridylyltransferase deficiency;Galactose epimerase deficiency
KMN836	Urinary Tract Obstruction	NO_DATA	NO_DATA	NO_DATA
KMN405	Urocanic Aciduria	E70.8	H00548;H01233;H01262;H02087	Brunner syndrome;Urocanase deficiency;Formiminotransferase deficiency;Vertebral, cardiac, renal, and limb defects syndrome
KMN784	Urticaria	L50	NO_DATA	NO_DATA
KMN700	Uveitis	NO_DATA	NO_DATA	NO_DATA
KMN560	Variegate Porphyria	E80.2	H00202	Hepatic porphyria
KMN744	Venous Thrombosis	NO_DATA	NO_DATA	NO_DATA
KMN134	Vipoma	C25.4	NO_DATA	NO_DATA
KMN9	Viral Hepatitis	NO_DATA	NO_DATA	NO_DATA
KMN732	Viral Myocarditis	NO_DATA	H00295	Viral myocarditis
KMN356	Vitamin B12 Deficiency	E53.8	H00180;H01182	Holocarboxylase synthetase deficiency;Biotinidase deficiency
KMN898	Vitamin B1 responsive congenital lactic acidemia	NO_DATA	NO_DATA	NO_DATA
KMN358	Vitamin B6 Deficiency	E53.1	NO_DATA	NO_DATA
KMN360	Vitamin D-Dependent Rickets Type I	E55.0	H01143	Vitamin D-dependent rickets
KMN359	Vitamin D-Dependent Rickets Type II	E83.3	H00214;H01113;H02138;H02139;H02143	Hypophosphatemic rickets;Acid phosphatase deficiency;Hereditary hypophophatemic rickets with hypercalciuria;Autosomal recessive hypophosphatemic rickets;X-linked dominant hypophosphatemic rickets
KMN361	Vitamin D Deficiency	E55	NO_DATA	NO_DATA
KMN362	Vitamin E deficiency	E56.0	H00981	Ataxia with isolated vitamin E deficiency (AVED)
KMN363	Vitamin K Deficiency	E56.1	NO_DATA	NO_DATA
KMN103	Waldenstrom's Macroglobulinemia	C88.0	NO_DATA	NO_DATA
KMN797	Wegener's Granulomatosis	M31.3	H01655	Granulomatosis with polyangiitis
KMN651	Welander Distal Myopathy	NO_DATA	H01975	Welander distal myopathy
KMN355	Wernicke's Encephalopathy	NO_DATA	H01565	Wernicke encephalopathy
KMN58	Wilms' tumor	NO_DATA	NO_DATA	NO_DATA
KMN400	Wilson Disease	NO_DATA	H00210	Wilson disease
KMN262	Wiskott-Aldrich Syndrome	NO_DATA	H01523	Wiskott-Aldrich syndrome
KMN401	Wolman Disease	E75.5	H00148;H00736;H00883;H01297;H01661;H02284	Lysosomal acid lipase deficiency;Dorfman-Chanarin syndrome;Lipoid proteinosis;Neutral lipid storage disease with myopathy;Xanthoma;Leukotriene C4 synthase deficiency
KMN256	X-Linked Agammaglobulinemia	NO_DATA	NO_DATA	NO_DATA
KMN386	X-Linked Hypophosphatemic Rickets	E83.3	H00214;H01113;H02138;H02139;H02143	Hypophosphatemic rickets;Acid phosphatase deficiency;Hereditary hypophophatemic rickets with hypercalciuria;Autosomal recessive hypophosphatemic rickets;X-linked dominant hypophosphatemic rickets
KMN276	X-Linked Immunodeficiency with Hyper IgM	NO_DATA	NO_DATA	NO_DATA
KMN255	X-Linked Lymphoproliferative Syndrome	NO_DATA	H01969	X-linked lymphoproliferative syndrome
KMN197	X-Linked Sideroblastic Anemia	D64.0	H00982	Sideroblastic anemia
KMN586	X-Linked Spinobulbar Muscular Atrophy	G12.1	H00062;H00524;H00656;H00841;H00856;H01903	Spinal and bulbar muscular atrophy (SBMA);Scapuloperoneal spinal muscular atrophy;Scapuloperoneal myopathy;Infantile progressive bulbar palsy;Distal hereditary motor neuropathies;Brown-Vialetto-Van Laere syndrome
KMN354	X-linked Recessive Hypophosphatemic Rickets	NO_DATA	H02142	X-linked recessive hypophosphatemic rickets
KMN282	X-linked TBG Deficiency	E07.8	H00249	Thyroid hormone resistance syndrome
KMN849	X-linked lissencephaly	NO_DATA	NO_DATA	NO_DATA
KMN887	Xeroderma pigmentosum	NO_DATA	H01428	Xeroderma pigmentosum
KMN257	ZAP70 Tyrosine Kinase Deficiency	NO_DATA	NO_DATA	NO_DATA
KMN307	Zollinger-Ellison Syndrome	NO_DATA	H01522	Zollinger-Ellison syndrome
KMN394	alpha-Ketoadipic Acidemia	NO_DATA	NO_DATA	NO_DATA
KMN395	alpha-Mannosidosis	NO_DATA	H00139	alpha-Mannosidosis
KMN184	alpha-Thalassemia Syndrome	D56.0	H00228	Thalassemia
KMN396	alpha1 Antitrypsin Deficiency	E88.0	NO_DATA	NO_DATA
KMN93	alpha Heavy Chain Disease	C88.3	NO_DATA	NO_DATA
KMN470	beta-Enolase Deficiency	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN469	beta-Mannosidosis	NO_DATA	H00140	beta-Mannosidosis
KMN186	beta-Thalassemia Syndrome	D56.1	H00228	Thalassemia
KMN94	gamma Heavy Chain Disease	C88.2	NO_DATA	NO_DATA
KMN101	mu Heavy Chain Disease	C88.2	NO_DATA	NO_DATA
KMN879	von Hippel-Lindau Syndrome	NO_DATA	H00559	von Hippel-Lindau syndrome
KMN209	von Willebrand's Disease	NO_DATA	H02092	von Willebrand disease
